session,start,end,paperUID,posterNumber
pldi_talks6A_mirror,2021-06-26T05:55:00+00:00,2021-06-26T06:00:00+00:00,pldi.44,
pldi_talks6A_mirror,2021-06-26T06:00:00+00:00,2021-06-26T06:05:00+00:00,pldi.144,
pldi_talks6B_mirror,2021-06-26T05:30:00+00:00,2021-06-26T05:35:00+00:00,pldi.34,
pldi_talks6B_mirror,2021-06-26T05:35:00+00:00,2021-06-26T05:40:00+00:00,pldi.599,
pldi_talks6B_mirror,2021-06-26T05:40:00+00:00,2021-06-26T05:45:00+00:00,pldi.596,
pldi_talks6B_mirror,2021-06-26T05:45:00+00:00,2021-06-26T05:50:00+00:00,pldi.853,
pldi_talks6B_mirror,2021-06-26T05:50:00+00:00,2021-06-26T05:55:00+00:00,pldi.127,
pldi_talks6B_mirror,2021-06-26T05:55:00+00:00,2021-06-26T06:00:00+00:00,pldi.325,
pldi_posters6_mirror,,,pldi.440,80
pldi_posters6_mirror,,,pldi.283,85
pldi_posters6_mirror,,,pldi.279,96
pldi_posters6_mirror,,,pldi.126,69
pldi_posters6_mirror,,,pldi.82,77
pldi_posters6_mirror,,,pldi.44,70
pldi_posters6_mirror,,,pldi.144,95
pldi_posters6_mirror,,,pldi.34,86
pldi_posters6_mirror,,,pldi.599,79
pldi_posters6_mirror,,,pldi.596,93
pldi_posters6_mirror,,,pldi.853,94
pldi_posters6_mirror,,,pldi.127,71
pldi_posters6_mirror,,,pldi.325,87
