ID,Name,Email,Title,Status,Presentation lD
pldi.27.short,"Runzhou Tao, Yunong Shi, Jianan Yao, John Hui, Frederic T. Chong, Ronghui Gu",,Gleipnir: Toward Practical Error Analysis for Quantum Programs,finished,38956167
pldi.274.long,"Dongpeng Xu, Binbin Liu, Weijie Feng, Jiang Ming, Qilong Zheng, Jing Li, Qiaoyan Yu",,Boosting SMT Solver Performance on Mixed-Bitwise-Arithmetic Expressions,incoming,38956293
pldi.274.short,"Dongpeng Xu, Binbin Liu, Weijie Feng, Jiang Ming, Qilong Zheng, Jing Li, Qiaoyan Yu",,Boosting SMT Solver Performance on Mixed-Bitwise-Arithmetic Expressions,finished,38956206
pldi.279.long,"Mahmut Taylan Kandemir, Xulong Tang, Hui Zhao, Jihyun Ryoo, Mustafa Karakoy",,Distance-in-Time versus Distance-in-Space,incoming,38956294
pldi.279.short,"Mahmut Taylan Kandemir, Xulong Tang, Hui Zhao, Jihyun Ryoo, Mustafa Karakoy",,Distance-in-Time versus Distance-in-Space,finished,38956207
pldi.283.long,"Xiaowen Hu, David Zhao, Herbert Jordan, Bernhard Scholz",,An Efficient Interpreter for Datalog by De-specializing Relations,finished,38956295
pldi.283.short,"Xiaowen Hu, David Zhao, Herbert Jordan, Bernhard Scholz",,An Efficient Interpreter for Datalog by De-specializing Relations,finished,38956208
pldi.297.long,"Jason R. Koenig, Oded Padon, Alex Aiken",,Adaptive Restarts for Stochastic Synthesis,finished,38956296
pldi.297.short,"Jason R. Koenig, Oded Padon, Alex Aiken",,Adaptive Restarts for Stochastic Synthesis,finished,38956209
pldi.299.long,"John Renner, Alex Sanchez-Stern, Fraser Brown, Sorin Lerner, Deian Stefan",,Scooter &#38,incoming,38956297
pldi.299.short,"John Renner, Alex Sanchez-Stern, Fraser Brown, Sorin Lerner, Deian Stefan",,Scooter &#38,finished,38956210
pldi.30.long,"Nuno P. Lopes, Juneyoung Lee, Chung-Kil Hur, Zhengyang Liu, John Regehr",,Alive2: Bounded Translation Validation for LLVM,incoming,38956255
pldi.30.short,"Nuno P. Lopes, Juneyoung Lee, Chung-Kil Hur, Zhengyang Liu, John Regehr",,Alive2: Bounded Translation Validation for LLVM,finished,38956168
pldi.305.long,"Bozhen Liu, Peiming Liu, Yanze Li, Chia-Che Tsai, Dilma Da Silva, Jeff Huang",,When Threads Meet Events: Efficient and Precise Static Race Detection with Origins,finished,38956298
pldi.305.short,"Bozhen Liu, Peiming Liu, Yanze Li, Chia-Che Tsai, Dilma Da Silva, Jeff Huang",,When Threads Meet Events: Efficient and Precise Static Race Detection with Origins,finished,38956211
pldi.311.long,"CoÅŸku Acay, Rolph Recto, Joshua Gancher, Andrew C. Myers, Elaine Shi",,"Viaduct: An Extensible, Optimizing Compiler for Secure Distributed Programs",finished,38956299
pldi.311.short,"CoÅŸku Acay, Rolph Recto, Joshua Gancher, Andrew C. Myers, Elaine Shi",,"Viaduct: An Extensible, Optimizing Compiler for Secure Distributed Programs",finished,38956212
